                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.131,                 4.1566,                 2.2517,                      0,                      0,                      0,                      0,                  2.628,                 3.6103,                  1.907,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.9916,                 3.6012,                 2.1943,                0.53134,                0.57653,                0.51743,                0.19588,                 2.1933,                 2.6884,                 1.7903,             0.00013884,             0.00013884,             0.00013884
                      3,                 2.3421,                 1.4704,                 1.7165,                0.22704,                0.63845,                0.38554,                0.12603,                 2.4649,                    inf,                 1.9995,             0.00021637,             0.00021637,             0.00021637
                      4,                  2.002,                 1.1527,                 1.4873,                0.33968,                 0.7664,                0.62699,                0.22911,                 2.1197,                    inf,                 1.9543,             0.00029257,             0.00029257,             0.00029257
                      5,                 2.0162,                 1.1053,                 1.5077,                0.44045,                0.76575,                0.63285,                0.23022,                   2.12,                    inf,                 1.9996,             0.00036746,             0.00036746,             0.00036746
                      6,                 1.9695,                 1.1767,                 1.4374,                0.53258,                0.76706,                0.52686,                0.19137,                 2.0415,                    inf,                 1.8086,             0.00044102,             0.00044102,             0.00044102
                      7,                 1.8946,                 1.0919,                 1.4091,                0.56322,                0.79921,                0.72161,                0.27433,                 1.9551,                    inf,                 1.7131,             0.00051327,             0.00051327,             0.00051327
                      8,                 1.9043,                  1.065,                  1.427,                0.65109,                 0.6647,                0.63469,                0.26075,                 1.9867,                 3.9023,                 1.8254,              0.0005842,              0.0005842,              0.0005842
                      9,                 1.9227,                 1.0272,                  1.373,                 0.7473,                0.77231,                0.73076,                0.27835,                 1.9988,                 3.4724,                 1.7755,              0.0006538,              0.0006538,              0.0006538
                     10,                 1.9261,                 1.0079,                 1.3931,                0.65247,                0.73688,                0.66239,                 0.2665,                 2.0673,                 3.4619,                 1.8341,             0.00072209,             0.00072209,             0.00072209
                     11,                 1.9223,                 1.0528,                  1.452,                0.64514,                0.75525,                0.64972,                0.26227,                 1.8917,                 3.9068,                 1.6774,             0.00078905,             0.00078905,             0.00078905
                     12,                 1.8625,                 1.0314,                 1.3732,                0.50447,                0.70801,                0.49087,                 0.1865,                 1.9885,                 2.4352,                 1.6808,             0.00085469,             0.00085469,             0.00085469
                     13,                 1.8856,                 1.0708,                 1.4055,                0.25971,                0.47113,                 0.1899,                0.08671,                 2.0819,                    inf,                  1.875,             0.00091902,             0.00091902,             0.00091902
                     14,                 1.8692,                 1.0033,                 1.3862,                 0.1662,                0.30249,                0.10725,                0.04461,                 2.6186,                    inf,                 2.3823,             0.00098203,             0.00098203,             0.00098203
                     15,                 1.8361,                0.98205,                 1.3661,                0.40129,                0.62467,                0.33363,                0.13294,                 2.1456,                    inf,                 2.1866,              0.0010437,              0.0010437,              0.0010437
                     16,                 1.8501,                  1.008,                  1.405,                0.45825,                0.66667,                0.40731,                0.16857,                 2.0542,                    inf,                 1.7794,              0.0011041,              0.0011041,              0.0011041
                     17,                 1.8126,                0.97116,                 1.3231,                0.64865,                0.63583,                0.59253,                0.24068,                 2.0856,                 2.0601,                 1.8259,              0.0011631,              0.0011631,              0.0011631
                     18,                  1.864,                0.96691,                 1.3426,                0.78048,                0.74016,                0.77854,                0.31361,                 2.1143,                 1.2803,                 1.8072,              0.0012208,              0.0012208,              0.0012208
                     19,                 1.9097,                0.96024,                 1.3862,                0.69983,                 0.6857,                0.69315,                0.28753,                 2.1434,                 1.1952,                 1.8214,              0.0012773,              0.0012773,              0.0012773
                     20,                  1.835,                 1.0094,                 1.4098,                0.75082,                0.70735,                 0.7551,                0.33287,                 1.9846,                 1.2409,                 1.7121,              0.0013323,              0.0013323,              0.0013323
                     21,                 1.8697,                 0.9832,                 1.3348,                0.75437,                0.76444,                0.79642,                0.32851,                 2.0227,                 1.6069,                 1.7719,              0.0013861,              0.0013861,              0.0013861
                     22,                 1.8499,                0.95954,                  1.312,                0.68404,                0.74863,                0.68857,                0.28093,                 2.0421,                 1.2382,                 1.7263,              0.0014385,              0.0014385,              0.0014385
                     23,                 1.8129,                 0.9481,                 1.3179,                0.36989,                   0.75,                 0.3302,                0.13788,                 2.0404,                    inf,                 1.7246,              0.0014897,              0.0014897,              0.0014897
                     24,                 1.8376,                0.99254,                 1.4211,                0.25518,                0.68504,                0.21977,                  0.093,                 2.0356,                    inf,                 1.7397,              0.0015395,              0.0015395,              0.0015395
                     25,                 1.8346,                0.95431,                 1.3597,                0.57035,                0.59055,                0.58468,                0.24935,                 2.0941,                 1.5966,                 1.7346,               0.001588,               0.001588,               0.001588
                     26,                 1.8455,                0.96871,                 1.3822,                0.00185,                0.00656,                0.00101,                0.00027,                  3.803,                    inf,                 11.084,              0.0015875,              0.0015875,              0.0015875
                     27,                  1.797,                0.94675,                 1.3579,                0.00167,                0.00591,                0.00084,                0.00018,                  4.678,                    inf,                 9.9716,              0.0015875,              0.0015875,              0.0015875
                     28,                 1.7977,                0.93227,                 1.3585,                0.00667,                0.02362,                0.00341,                 0.0017,                  3.625,                    inf,                 4.4605,               0.001571,               0.001571,               0.001571
                     29,                 1.7678,                0.95053,                 1.3281,                 0.2218,                 0.4357,                0.18408,                0.07925,                 2.2278,                  2.595,                 1.8736,              0.0015545,              0.0015545,              0.0015545
                     30,                 1.7407,                0.93257,                  1.344,                0.68617,                0.61614,                0.69381,                0.30087,                 2.0241,                 1.2281,                 1.7175,               0.001538,               0.001538,               0.001538
                     31,                 1.7502,                0.90475,                 1.3697,                0.76176,                0.73031,                0.76306,                0.34273,                 2.0051,                 1.0799,                 1.6904,              0.0015215,              0.0015215,              0.0015215
                     32,                 1.7512,                0.88189,                 1.3343,                0.75652,                0.71522,                0.75514,                0.31716,                 2.0415,                 1.1225,                    1.7,               0.001505,               0.001505,               0.001505
                     33,                 1.7778,                 0.9055,                 1.3173,                0.80409,                0.75197,                0.78736,                0.32311,                 2.0348,                  1.088,                  1.687,              0.0014885,              0.0014885,              0.0014885
                     34,                 1.7413,                0.87098,                 1.2679,                0.53172,                0.68766,                0.46263,                0.19381,                 2.0771,                 2.1346,                 1.7665,               0.001472,               0.001472,               0.001472
                     35,                 1.7364,                0.92806,                 1.3275,                0.33975,                0.62992,                0.27994,                0.12136,                 1.9545,                    inf,                 1.6515,              0.0014555,              0.0014555,              0.0014555
                     36,                 1.7237,                0.88634,                 1.3103,                0.36509,                0.71785,                0.31899,                0.14567,                 1.9291,                    inf,                 1.6253,               0.001439,               0.001439,               0.001439
                     37,                 1.7484,                0.88151,                 1.3399,                0.84039,                0.78412,                0.82832,                0.37383,                 1.9595,                 0.9627,                 1.6417,              0.0014225,              0.0014225,              0.0014225
                     38,                 1.6966,                0.85975,                 1.3092,                 0.6895,                0.78543,                0.64552,                0.28058,                 2.0108,                  1.185,                 1.6724,               0.001406,               0.001406,               0.001406
                     39,                 1.7199,                0.84275,                 1.2969,                0.71732,                0.78018,                 0.6757,                0.29892,                 1.9931,                 1.1014,                 1.6637,              0.0013895,              0.0013895,              0.0013895
                     40,                 1.7177,                 0.8441,                 1.3208,                0.80915,                0.78452,                0.81114,                0.37214,                 1.9404,                0.99428,                 1.6493,               0.001373,               0.001373,               0.001373
                     41,                 1.6935,                0.84919,                 1.3014,                0.82214,                0.80075,                0.82985,                 0.3775,                 1.9145,                0.93794,                 1.6373,              0.0013565,              0.0013565,              0.0013565
                     42,                 1.6765,                 0.8305,                 1.3167,                0.82038,                 0.7942,                0.82243,                0.36583,                 1.9565,                0.93791,                 1.6633,                0.00134,                0.00134,                0.00134
                     43,                 1.6643,                0.83796,                 1.2816,                0.84222,                0.81609,                0.84543,                 0.3753,                 1.9245,                0.93768,                 1.6186,              0.0013235,              0.0013235,              0.0013235
                     44,                  1.742,                 0.8568,                 1.2908,                 0.8468,                0.80052,                0.83858,                0.36826,                 1.9554,                0.94906,                 1.6295,               0.001307,               0.001307,               0.001307
                     45,                 1.7424,                0.84046,                 1.3133,                 0.8254,                0.76312,                 0.8039,                0.35863,                 2.0123,                0.96207,                 1.6728,              0.0012905,              0.0012905,              0.0012905
                     46,                 1.7477,                0.83166,                 1.2979,                0.82681,                0.77034,                0.81725,                0.36993,                 2.0092,                0.98884,                 1.6693,               0.001274,               0.001274,               0.001274
                     47,                 1.6644,                0.81493,                 1.2724,                0.80881,                0.76509,                0.82009,                0.37371,                 1.9802,                 1.0015,                 1.6452,              0.0012575,              0.0012575,              0.0012575
                     48,                 1.7217,                0.83333,                 1.3216,                0.77983,                0.78556,                 0.8226,                 0.3687,                 1.9972,                0.99444,                 1.6516,               0.001241,               0.001241,               0.001241
                     49,                 1.6194,                0.79798,                 1.2788,                 0.8024,                0.79671,                0.83499,                0.37424,                 2.0012,                0.94448,                 1.6497,              0.0012245,              0.0012245,              0.0012245
                     50,                  1.629,                 0.7802,                 1.2529,                0.83325,                0.80003,                0.84592,                0.38379,                 1.9682,                0.91512,                 1.6299,               0.001208,               0.001208,               0.001208
                     51,                 1.6281,                0.78353,                 1.2708,                0.83559,                0.81102,                0.84571,                0.38302,                 1.9593,                0.92147,                 1.6308,              0.0011915,              0.0011915,              0.0011915
                     52,                 1.6785,                 0.7853,                 1.2815,                0.83941,                0.80942,                0.84882,                0.37981,                 1.9666,                0.94635,                 1.6409,               0.001175,               0.001175,               0.001175
                     53,                 1.6222,                  0.793,                  1.279,                0.83309,                0.80512,                0.83713,                0.36265,                 2.0375,                0.94007,                 1.6844,              0.0011585,              0.0011585,              0.0011585
                     54,                 1.6621,                0.77018,                 1.2206,                 0.8244,                0.78864,                0.82084,                0.35968,                 2.0315,                0.93664,                 1.6725,               0.001142,               0.001142,               0.001142
                     55,                 1.6352,                0.78698,                 1.3012,                0.82119,                0.79265,                0.83104,                0.36726,                 2.0382,                 0.8958,                 1.6801,              0.0011255,              0.0011255,              0.0011255
                     56,                 1.6329,                0.76483,                 1.2893,                0.81921,                0.77304,                0.81734,                0.36747,                 2.0666,                0.89035,                 1.7125,               0.001109,               0.001109,               0.001109
                     57,                 1.6517,                0.75663,                 1.2694,                0.83289,                0.79468,                0.83856,                0.38378,                 2.0213,                0.87203,                 1.6766,              0.0010925,              0.0010925,              0.0010925
                     58,                 1.5964,                0.74993,                 1.2818,                0.82451,                0.78937,                0.83168,                0.37498,                 2.0391,                 0.8872,                 1.6864,               0.001076,               0.001076,               0.001076
                     59,                 1.5839,                0.74174,                 1.2598,                0.83425,                0.80774,                 0.8407,                0.37856,                 2.0037,                0.88127,                 1.6559,              0.0010595,              0.0010595,              0.0010595
                     60,                 1.5554,                0.72538,                 1.2168,                0.84838,                0.83342,                0.86252,                0.37241,                 2.0282,                 0.8805,                 1.6754,               0.001043,               0.001043,               0.001043
                     61,                 1.6065,                0.72356,                 1.2421,                0.84077,                0.81765,                0.84813,                0.36509,                 2.0614,                0.87432,                 1.7032,              0.0010265,              0.0010265,              0.0010265
                     62,                 1.5865,                0.72131,                 1.2115,                0.84081,                0.79712,                0.84093,                0.36683,                  2.053,                0.84808,                 1.6948,                0.00101,                0.00101,                0.00101
                     63,                 1.5568,                0.71083,                 1.2145,                0.82694,                0.77034,                0.80872,                 0.3537,                 2.1037,                0.84521,                 1.7472,              0.0009935,              0.0009935,              0.0009935
                     64,                 1.5715,                0.69885,                 1.2105,                 0.8098,                0.76969,                0.79598,                0.34972,                 2.1253,                 0.8486,                 1.7693,               0.000977,               0.000977,               0.000977
                     65,                  1.596,                0.72481,                 1.2754,                0.81983,                0.77631,                0.80592,                0.34784,                 2.1442,                0.85137,                 1.7833,              0.0009605,              0.0009605,              0.0009605
                     66,                 1.5797,                0.69338,                 1.2442,                0.82243,                0.77953,                0.81561,                 0.3571,                 2.1296,                0.85365,                 1.7776,               0.000944,               0.000944,               0.000944
                     67,                 1.5357,                0.68813,                 1.1993,                0.83544,                0.78675,                0.83112,                0.35786,                 2.1293,                0.86818,                  1.759,              0.0009275,              0.0009275,              0.0009275
                     68,                 1.5518,                0.68479,                 1.1812,                0.84036,                0.78065,                0.83362,                0.35727,                 2.1107,                0.89788,                  1.728,               0.000911,               0.000911,               0.000911
                     69,                 1.5314,                0.72043,                  1.243,                0.82376,                0.78215,                0.82916,                0.35651,                 2.1023,                0.88974,                 1.7176,              0.0008945,              0.0008945,              0.0008945
                     70,                 1.5532,                0.71696,                 1.2702,                 0.8233,                0.77887,                0.81344,                0.35652,                 2.0882,                0.85481,                 1.7136,               0.000878,               0.000878,               0.000878
                     71,                 1.5105,                0.68849,                 1.2272,                0.85591,                0.79528,                0.83385,                 0.3695,                 2.0781,                0.83622,                 1.7019,              0.0008615,              0.0008615,              0.0008615
                     72,                 1.5178,                0.68172,                  1.231,                0.81559,                0.76378,                 0.8004,                0.34472,                 2.1725,                0.85869,                   1.78,               0.000845,               0.000845,               0.000845
                     73,                 1.5079,                0.67445,                 1.2214,                0.82389,                0.77049,                0.80935,                0.34872,                 2.1389,                0.84128,                 1.7554,              0.0008285,              0.0008285,              0.0008285
                     74,                 1.4742,                0.66161,                 1.2052,                0.80767,                0.76706,                0.79917,                0.34547,                 2.1358,                0.84555,                 1.7602,               0.000812,               0.000812,               0.000812
                     75,                 1.4818,                0.66872,                 1.2001,                0.80292,                0.76187,                0.79529,                0.34849,                 2.1311,                0.84984,                  1.751,              0.0007955,              0.0007955,              0.0007955
                     76,                 1.4882,                0.67945,                 1.2352,                0.80151,                0.75516,                0.78409,                0.34917,                 2.1394,                0.82573,                  1.755,               0.000779,               0.000779,               0.000779
                     77,                 1.4865,                 0.6514,                 1.1594,                0.84289,                0.77625,                0.82184,                0.37291,                 2.0825,                0.79809,                 1.7018,              0.0007625,              0.0007625,              0.0007625
                     78,                 1.4726,                0.64454,                 1.1856,                0.84345,                0.77776,                 0.8229,                0.37647,                 2.0814,                0.78716,                  1.703,               0.000746,               0.000746,               0.000746
                     79,                  1.459,                0.64114,                 1.2188,                0.80567,                0.74213,                0.77978,                0.35292,                 2.1442,                 0.8051,                 1.7657,              0.0007295,              0.0007295,              0.0007295
                     80,                 1.4546,                0.65331,                 1.1978,                0.81423,                0.76575,                0.79841,                0.35703,                 2.1299,                  0.815,                 1.7504,               0.000713,               0.000713,               0.000713
                     81,                  1.457,                0.63921,                 1.1772,                0.86628,                 0.8084,                0.84787,                0.38518,                 2.0408,                0.80313,                 1.6683,              0.0006965,              0.0006965,              0.0006965
                     82,                 1.4823,                0.65955,                 1.1708,                0.87776,                0.81562,                0.86136,                0.39218,                 2.0254,                0.80256,                 1.6459,                0.00068,                0.00068,                0.00068
                     83,                 1.4251,                0.62367,                 1.1638,                0.85213,                0.78937,                0.83427,                 0.3778,                 2.0715,                0.81092,                 1.6864,              0.0006635,              0.0006635,              0.0006635
                     84,                 1.4624,                0.64232,                 1.2037,                0.82993,                  0.771,                0.81462,                0.36295,                 2.1191,                0.81847,                 1.7385,               0.000647,               0.000647,               0.000647
                     85,                 1.4315,                0.63762,                 1.2093,                0.81575,                0.75328,                0.80174,                0.35422,                 2.1406,                0.82871,                 1.7776,              0.0006305,              0.0006305,              0.0006305
                     86,                 1.3972,                0.62788,                 1.1574,                0.82906,                0.77559,                0.82041,                0.36057,                 2.1265,                0.82094,                  1.774,               0.000614,               0.000614,               0.000614
                     87,                 1.4791,                0.65371,                  1.188,                0.82312,                0.77561,                0.80946,                0.35124,                 2.1286,                0.82282,                   1.77,              0.0005975,              0.0005975,              0.0005975
                     88,                 1.4282,                 0.6348,                 1.1515,                0.82057,                0.78412,                0.80124,                0.34491,                 2.1432,                0.82657,                 1.7635,               0.000581,               0.000581,               0.000581
                     89,                  1.399,                0.61845,                 1.1636,                0.81017,                0.76837,                0.78038,                0.33532,                 2.1692,                0.82775,                 1.7814,              0.0005645,              0.0005645,              0.0005645
                     90,                 1.4177,                0.60998,                 1.1315,                0.82298,                0.77165,                0.79607,                0.34672,                 2.1599,                 0.8185,                 1.7782,               0.000548,               0.000548,               0.000548
                     91,                 1.4283,                0.63722,                 1.1952,                0.79888,                0.75853,                0.77947,                0.33999,                 2.1818,                 0.8271,                 1.8196,              0.0005315,              0.0005315,              0.0005315
                     92,                 1.3518,                0.59442,                 1.1132,                0.80438,                0.76628,                0.78883,                0.34419,                 2.1743,                0.82322,                 1.8079,               0.000515,               0.000515,               0.000515
                     93,                 1.3739,                0.60457,                 1.1377,                0.83161,                0.79003,                0.81265,                 0.3498,                 2.1509,                 0.8189,                 1.7689,              0.0004985,              0.0004985,              0.0004985
                     94,                 1.3721,                 0.5872,                 1.1118,                0.81922,                0.79068,                0.80737,                  0.343,                  2.161,                0.83094,                 1.7777,               0.000482,               0.000482,               0.000482
                     95,                 1.3826,                0.59887,                 1.1446,                0.80354,                0.78902,                0.80517,                 0.3373,                 2.1801,                0.83804,                  1.802,              0.0004655,              0.0004655,              0.0004655
                     96,                 1.3572,                0.60626,                  1.134,                  0.804,                0.79944,                0.82286,                0.35427,                 2.1636,                0.82213,                 1.8034,               0.000449,               0.000449,               0.000449
